point_id,algorithm,num_observations,num_breaks,break_dates,time_span_years,status
1413761,S-CCD,319,0,,36.290212183436005,no_breaks_detected
1413762,S-CCD,306,0,,36.290212183436005,no_breaks_detected
1413764,S-CCD,479,-1,,0.0,error: S-CCD function fails for pos = 1 
1413766,S-CCD,471,0,,36.92539356605065,no_breaks_detected
1413767,S-CCD,301,0,,36.290212183436005,no_breaks_detected
1413769,S-CCD,593,0,,36.64065708418891,no_breaks_detected
1413773,S-CCD,544,0,,36.88158795345654,no_breaks_detected
1413774,S-CCD,514,0,,36.64065708418891,no_breaks_detected
1413779,S-CCD,408,0,,36.577686516084874,no_breaks_detected
1413780,S-CCD,526,0,,36.772073921971256,no_breaks_detected
1413782,S-CCD,543,0,,36.903490759753595,no_breaks_detected
1413786,S-CCD,320,-1,,0.0,error: S-CCD function fails for pos = 1 
1413787,S-CCD,271,0,,36.290212183436005,no_breaks_detected
1413789,S-CCD,556,-1,,0.0,error: S-CCD function fails for pos = 1 
1413795,S-CCD,466,-1,,0.0,error: S-CCD function fails for pos = 1 
1413796,S-CCD,546,-1,,0.0,error: S-CCD function fails for pos = 1 
1413797,S-CCD,536,-1,,0.0,error: S-CCD function fails for pos = 1 
1413799,S-CCD,429,0,,36.903490759753595,no_breaks_detected
1413800,S-CCD,289,-1,,0.0,error: S-CCD function fails for pos = 1 
1413804,S-CCD,570,0,,36.772073921971256,no_breaks_detected
1413820,S-CCD,331,0,,36.290212183436005,no_breaks_detected
1413822,S-CCD,462,0,,36.421629021218344,no_breaks_detected
1413824,S-CCD,496,-1,,0.0,error: S-CCD function fails for pos = 1 
1413825,S-CCD,461,-1,,0.0,error: S-CCD function fails for pos = 1 
1413826,S-CCD,565,0,,36.903490759753595,no_breaks_detected
1413828,S-CCD,536,-1,,0.0,error: S-CCD function fails for pos = 1 
1413834,S-CCD,527,0,,36.772073921971256,no_breaks_detected
1413835,S-CCD,291,0,,36.18069815195072,no_breaks_detected
1413836,S-CCD,492,0,,36.772073921971256,no_breaks_detected
1413839,S-CCD,524,-1,,0.0,error: S-CCD function fails for pos = 1 
1413844,S-CCD,521,0,,36.46543463381246,no_breaks_detected
1413845,S-CCD,528,-1,,0.0,error: S-CCD function fails for pos = 1 
1413846,S-CCD,531,-1,,0.0,error: S-CCD function fails for pos = 1 
1413847,S-CCD,535,0,,36.772073921971256,no_breaks_detected
1413856,S-CCD,449,0,,36.903490759753595,no_breaks_detected
1413858,S-CCD,466,0,,36.65982203969884,no_breaks_detected
1413860,S-CCD,482,0,,36.903490759753595,no_breaks_detected
1413863,S-CCD,379,0,,36.421629021218344,no_breaks_detected
1413874,S-CCD,489,-1,,0.0,error: S-CCD function fails for pos = 1 
1413875,S-CCD,329,0,,36.49007529089665,no_breaks_detected
1413881,S-CCD,522,0,,36.64065708418891,no_breaks_detected
1413888,S-CCD,268,0,,36.290212183436005,no_breaks_detected
1413956,S-CCD,292,-1,,0.0,error: S-CCD function fails for pos = 1 
1413958,S-CCD,297,0,,36.421629021218344,no_breaks_detected
1414000,S-CCD,288,-1,,0.0,error: S-CCD function fails for pos = 1 
1414010,S-CCD,295,0,,36.290212183436005,no_breaks_detected
1414016,S-CCD,294,0,,36.290212183436005,no_breaks_detected
1414045,S-CCD,310,0,,36.421629021218344,no_breaks_detected
1414065,S-CCD,330,0,,36.290212183436005,no_breaks_detected
1414067,S-CCD,291,0,,36.50924024640657,no_breaks_detected
